,name,rating,reviews,field,employees,ctype,old,location
6818,Rajdeep Buildcon,3.9,96,Engineering & Construction , 1k-5k Employees , 31 years old , Pune +14 more,
6819,Facilities And Building Solutions,3.6,96,Engineering & Construction , 1k-5k Employees , 18 years old , Bangalore +8 more,
6820,Finecure Pharmaceuticals,3.6,96,Pharma , 201-500 Employees , Public , 18 years old , Ahmedabad +5 more
6821,Hawa Valves,3.6,96,Oil & Gas , 201-500 Employees , 22 years old , Mumbai +8 more,
6822,Metal Power Analytical,3.7,96,Electronics Manufacturing , 51-200 Employees , 36 years old , Mumbai +17 more,
6823,REI Systems,3.9,96,IT Services & Consulting , 51-200 Employees , 11 years old , Sterling,
6824,Krishak Bharati Cooperative,4.6,96,Chemicals , 1k-5k Employees , 43 years old , New Delhi +13 more,
6825,Goodricke Group,4.2,96,Food Processing , 201-500 Employees , Public , 46 years old , Kolkata +20 more
6826,Axis Clinicals,3.7,96,Clinical Research , 201-500 Employees , 19 years old , Hyderabad/Secunderabad +3 more,
6827,Shivalik Prints,4.1,96,Fashion & Textile , 201-500 Employees , 25 years old , Faridabad +2 more,
6828,Reynolds,4.4,96,Other , 501-1k Employees , 78 years old , Minnesota +20 more,
6829,Entero Healthcare Solutions,3.9,96,Pharma , 1k-5k Employees , 5 years old , Mumbai +15 more,
6830,Bizcrum Infotech,4.0,96,Internet , 201-500 Employees , New Delhi +26 more,,
6831,Gramophone,4.0,96,Agriculture , 201-500 Employees , Startup , 7 years old , Indore +12 more
6832,Go Speedy Go,4.2,96,Automobile , 201-500 Employees , 6 years old , Bhubaneswar +4 more,
6833,Mantra Properties,3.5,96,Real Estate , 51-200 Employees , 21 years old , Pune,
6834,Airef Engineers,3.8,96,Engineering & Construction , 1k-5k Employees , 37 years old , Gurgaon/Gurugram +8 more,
6835,Aptonline,4.1,96,IT Services & Consulting , 201-500 Employees , Public , 21 years old , Hyderabad +3 more
6836,Klassic Wheels,3.1,96,Auto Components , 51-200 Employees , 29 years old , Ahmednagar +8 more,
6837,American Institute Of Pathology Andlaboratory Sciences,4.3,96,Healthcare , 501-1k Employees (Global) , 16 years old , Hyderabad/Secunderabad +21 more,
6838,Deccan iServices,3.3,96,201-500 Employees , Chennai +6 more,,,
6839,Zeelab Pharmacy,3.9,96,Pharma , 201-500 Employees , 4 years old , New Delhi +14 more,
6840,Park Plus,2.8,96,Internet , 201-500 Employees , Startup , 4 years old , Gurgaon +13 more
6841,Indovance Inc,3.7,96,Engineering & Construction , 201-500 Employees , 20 years old , Apex,
6842,Z1 Tech,4.4,96,Marketing & Advertising , 51-200 Employees , 9 years old , New Jersey +1 more,
6843,NCDEX,4.4,96,Financial Services , 201-500 Employees , 20 years old , Mumbai +17 more,
6844,Advanced Business Healthcare Solutions,3.7,96,Software Product , 501-1k Employees , 22 years old , Datchet +4 more,
6845,Citec Engineering,3.6,96,Engineering & Construction , 51-200 Employees , 39 years old , Vaasa +4 more,
6846,PES Engineers,4.1,95,Engineering & Construction , 201-500 Employees , 42 years old , Hyderabad +13 more,
6847,GSPL,3.7,95,Oil & Gas , 1k-5k Employees , Public , 44 years old , Gandhinagar +24 more
6848,Easypolicy.com,3.5,95,Insurance , 201-500 Employees , 12 years old , Noida +4 more,
6849,Frontline NCR Business Solutions,3.7,95,Facility Management Services , 1k-5k Employees (Global) , 16 years old , New Delhi +22 more,
6850,VK Building Services,3.8,95,Engineering & Construction , 201-500 Employees , 14 years old , Bangalore/Bengaluru +8 more,
6851,Maneesh Pharmaceuticals,3.9,95,Pharma , 201-500 Employees , 48 years old , Mumbai +10 more,
6852,Kumaran Systems,3.9,95,IT Services & Consulting , 501-1k Employees , 33 years old , Toronto +4 more,
6853,Kerakoll,4.3,95,Building Material , 51-200 Employees , 55 years old , Sassuolo +26 more,
6854,Ducat,4.3,95,Education & Training , 51-200 Employees , 24 years old , Noida +4 more,
6855,BSF,4.4,95,Defence & Aerospace , 1-10 Employees , Public , 58 years old , New Delhi +25 more
6856,DSM,4.5,95,Chemicals , 1k-5k Employees , Forbes Global 2000 , 121 years old , Heerlen +17 more
6857,ARK Infosolutions,3.9,95,IT Services & Consulting , 201-500 Employees , 11 years old , Mumbai +10 more,
6858,Thermo Systems India,3.9,95,Semiconductors , 501-1k Employees , 18 years old , Hyderabad +14 more,
6859,MKU,2.8,95,Defence & Aerospace , 51-200 Employees , 38 years old , Kanpur +8 more,
6860,Tata Mutual Fund,3.3,95,Financial Services , 201-500 Employees , Public , 29 years old , Mumbai +32 more
6861,Rays Power Infra,4.2,95,Power , 201-500 Employees , 12 years old , Jaipur +10 more,
6862,Strata Geosystems,4.4,95,Engineering & Construction , 201-500 Employees , 19 years old , Mumbai +10 more,
6863,Ambica Steels,4.1,95,Metals & Mining , 1k-5k Employees , 53 years old , New Delhi +8 more,
6864,FNF India,3.9,95,IT Services & Consulting , 1k-5k Employees , 16 years old , Bangalore/Bengaluru +3 more,
6865,ZunRoof Tech,3.4,95,Power , 51-200 Employees , Startup , 7 years old , Gurgaon +8 more
6866,Hospital Chemist,4.0,95,New Delhi +42 more,,,,
6867,Futaba Industrial Gujarat,4.2,95,Auto Components , 51-200 Employees , Becharaji +4 more,,
6868,Nippon Life India Asset Management,4.1,95,Financial Services , 1k-5k Employees , Public , 28 years old , Mumbai +46 more
6869,Flovel Energy,4.1,95,Power , 1k-5k Employees , 52 years old , Faridabad +2 more,
6870,Nipha Exports,3.7,95,Industrial Machinery , 501-1k Employees , 60 years old , Kolkata +6 more,
6871,Eldeco Infrastructure & Properties,4.2,95,Real Estate , 201-500 Employees (Global) , Conglomerate , 48 years old , Delhi/NCR +10 more
6872,Sv Edusports,4.2,95,Sports & Recreation , 51-200 Employees , 14 years old , Bangalore +25 more,
6873,Ecole Globale International Girls School,3.8,95,Education & Training , 51-200 Employees , Dehradun +19 more,,
6874,Hard Rock Cafe,4.3,95,Hospitality , 11-50 Employees , 52 years old , Davie +15 more,
6875,Nahars Engineering India,3.6,95,Auto Components , 1k-5k Employees (Global) , 44 years old , Aurangabad +3 more,
6876,VGM Consultants,3.5,95,Financial Services , 501-1k Employees , 9 years old , Kolkata +18 more,
6877,Palsons Derma,3.8,95,Fitness & Wellness , 51-200 Employees , 39 years old , Kolkata +16 more,
6878,Glen Appliances,3.9,95,Consumer Electronics & Appliances , 11-50 Employees , 24 years old , Faridabad +19 more,
6879,PolicyX.com,3.3,95,FinTech , 51-200 Employees , Startup , 10 years old , Gurgaon/Gurugram +4 more
6880,Glen Appliances,3.9,95,Consumer Electronics & Appliances , 11-50 Employees , 24 years old , Faridabad +19 more,
6881,ARK Infosolutions,3.9,95,IT Services & Consulting , 201-500 Employees , 11 years old , Mumbai +10 more,
6882,Junglee Games,3.5,95,IT Services & Consulting , 201-500 Employees , Startup , 11 years old , Delhi +5 more
6883,P C CHANDRA JEWELLERS,4.0,95,Jewellery , 51-200 Employees , 84 years old , Kolkata +19 more,
6884,Tata Mutual Fund,3.3,95,Financial Services , 201-500 Employees , Public , 29 years old , Mumbai +32 more
6885,Sun Mobility,3.8,95,Auto Components , 11-50 Employees , Startup , 6 years old , Bangalore +4 more
6886,FNF India,3.9,95,IT Services & Consulting , 1k-5k Employees , 16 years old , Bangalore/Bengaluru +3 more,
6887,Hospital Chemist,4.0,95,New Delhi +42 more,,,,
6888,ZunRoof Tech,3.4,95,Power , 51-200 Employees , Startup , 7 years old , Gurgaon +8 more
6889,Nipha Exports,3.7,95,Industrial Machinery , 501-1k Employees , 60 years old , Kolkata +6 more,
6890,Clean Science And Technology,3.5,95,Chemicals , 501-1k Employees , 17 years old , Pune +4 more,
6891,Constantia Flexibles,3.9,95,Packaging , 501-1k Employees , 111 years old , Vienna +10 more,
6892,HTL,3.8,95,Telecom , 51-200 Employees , 63 years old , Chennai +8 more,
6893,Flovel Energy,4.1,95,Power , 1k-5k Employees , 52 years old , Faridabad +2 more,
6894,IJM (India) Infrastructure,4.1,95,Engineering & Construction , 201-500 Employees , Public , 25 years old , Hyderabad +11 more
6895,VGM Consultants,3.5,95,Financial Services , 501-1k Employees , 9 years old , Kolkata +18 more,
6896,Village Financial Services,3.8,95,Financial Services , 1k-5k Employees , 41 years old , Kolkata +31 more,
6897,Kothari Agritech,4.0,95,Agriculture , 201-500 Employees , 26 years old , Pune +25 more,
6898,Nippon Life India Asset Management,4.1,95,Financial Services , 1k-5k Employees , Public , 28 years old , Mumbai +46 more
6899,Rds Project,3.6,95,Real Estate , 201-500 Employees , 31 years old , New Delhi +18 more,
6900,Minda Kyoraku,3.9,95,Automobile , 51-200 Employees , Public , 15 years old , Gurugram +9 more
6901,Futaba Industrial Gujarat,4.2,95,Auto Components , 51-200 Employees , Becharaji +4 more,,
6902,CivilMantra Infracon Private Limited,4.9,95,Engineering & Construction , 201-500 Employees , Startup , 9 years old , Gurgaon/Gurugram +1 more
6903,Fairfield Inn by Marriott,4.1,95,Bengaluru/Bangalore +18 more,,,,
6904,Numerator,4.1,95,Emerging Technologies , 1k-5k Employees , 19 years old , Chicago +1 more,
6905,Nahars Engineering India,3.6,95,Auto Components , 1k-5k Employees (Global) , 44 years old , Aurangabad +3 more,
6906,ABP Network,4.1,95,Broadcasting , 1k-5k Employees , 20 years old , Noida +12 more,
6907,Interview Kickstart,4.5,95,Education & Training , 201-500 Employees , Santa Clara,,
6908,Virtual Oplossing,4.8,95,Marketing & Advertising , 51-200 Employees , 9 years old , Mohali,
6909,QO BOX,4.7,95,11-50 Employees , Chennai +3 more,,,
6910,Integrated Personnel Services,3.7,95,Recruitment , 201-500 Employees , 19 years old , Mumbai +25 more,
6911,Topsoe,4.0,95,Faridabad +3 more,,,,
6912,Actis Technologies,4.2,95,IT Services & Consulting , 201-500 Employees , 52 years old , Mumbai +10 more,
6913,Digital Aptech,4.5,94,IT Services & Consulting , 51-200 Employees , 11 years old , Kolkata +1 more,
6914,Anabeeb,4.2,94,Oil & Gas , 1k-5k Employees (Global) , 40 years old , Dammam +6 more,
6915,GREEN POWER INTERNATIONAL,4.2,94,Oil & Gas , 501-1k Employees , 21 years old , Noida +23 more,
6916,Volvo Construction Equipment,4.1,94,Industrial Machinery , 1k-5k Employees , 191 years old , Gothenburg +20 more,
6917,SunTec Business Solutions,3.2,94,IT Services & Consulting , 501-1k Employees , 33 years old , Trivandrum/Thiruvananthapuram +9 more,
6918,The West Coast Paper Mills,3.8,94,Pulp & Paper , 201-500 Employees , Public , 68 years old , Kolkata +7 more
6919,Polmon Instruments,3.5,94,Industrial Automation , 51-200 Employees , 31 years old , Hyderabad +2 more,
6920,Stellapps Technologies,4.1,94,Software Product , 201-500 Employees , 12 years old , Bangalore +22 more,
6921,T.R. Sawhney Motors,3.8,94,Automobile , 201-500 Employees (Global) , 36 years old , New Delhi +8 more,
6922,DIC India,4.0,94,Chemicals , 501-1k Employees , Public , 76 years old , Chuo +10 more
6923,Khatib & Alami,3.7,94,Engineering & Construction , 201-500 Employees , 59 years old , Beirut +9 more,
6924,Celebrity Cruises,4.5,94,Travel & Tourism , 501-1k Employees , 34 years old , Miami +3 more,
6925,Segula Technologies,3.4,94,Industrial Machinery , 201-500 Employees , 17 years old , Nanterre +3 more,
6926,Sri Balaji Action Medical Institute,3.9,94,Healthcare , 201-500 Employees , 18 years old , New Delhi +1 more,
6927,Cube Construction Engineering,3.3,94,Engineering & Construction , 1k-5k Employees , Public , 29 years old , Vadodara/Baroda +7 more
6928,Deccan Cements,4.3,94,Building Material , 501-1k Employees , Public , 44 years old , Hyderabad +9 more
6929,Ags Infotech,4.4,94,IT Services & Consulting , 201-500 Employees , Hyderabad/Secunderabad +6 more,,
6930,Quadgen Wireless Solutions,3.3,94,Telecom , 51-200 Employees , 16 years old , King of Prussia +14 more,
6931,Experion Technologies,4.2,94,IT Services & Consulting , 1k-5k Employees , 17 years old , Trivandrum/Thiruvananthapuram +4 more,
6932,Graphic Era University,3.7,94,Education & Training , 501-1k Employees , 30 years old , Dehradun +6 more,
6933,Apollo Telehealth Services,4.1,94,Healthcare , 51-200 Employees , 13 years old , Hyderabad/Secunderabad +19 more,
6934,PharmaZell,4.3,94,Pharma , 501-1k Employees , 77 years old , Raubling +4 more,
6935,Rentokil Initial,3.8,94,Agro Chemicals , 201-500 Employees , 6 years old , Mumbai +27 more,
6936,Pegasus InfoCorp,3.1,94,IT Services & Consulting , 201-500 Employees , 20 years old , Mumbai +7 more,
6937,GP Strategies,4.0,94,Education & Training , 201-500 Employees , 57 years old , Columbia +6 more,
6938,Kusalava International,4.2,94,Industrial Machinery , 1k-5k Employees , 59 years old , Vijayawada +8 more,
6939,Ferring Pharmaceuticals,4.0,94,Pharma , 51-200 Employees , 73 years old , Saint-Prex +14 more,
6940,Gromax Agri Equipment,3.9,94,Automobile , 501-1k Employees , 63 years old , Vadodara +16 more,
6941,Volvo Construction Equipment,4.1,94,Industrial Machinery , 1k-5k Employees , 191 years old , Gothenburg +20 more,
6942,Modern Insulators,3.8,94,Electrical Equipment , 501-1k Employees , Public , 38 years old , Sirohi +7 more
6943,Rentokil Initial,3.8,94,Agro Chemicals , 201-500 Employees , 6 years old , Mumbai +27 more,
6944,Digital Aptech,4.5,94,IT Services & Consulting , 51-200 Employees , 11 years old , Kolkata +1 more,
6945,GMP Technical Solutions,3.7,94,Industrial Machinery , 1k-5k Employees , 18 years old , Mumbai +15 more,
6946,PharmaZell,4.3,94,Pharma , 501-1k Employees , 77 years old , Raubling +4 more,
6947,Experion Technologies,4.2,94,IT Services & Consulting , 1k-5k Employees , 17 years old , Trivandrum/Thiruvananthapuram +4 more,
6948,Graphic Era University,3.7,94,Education & Training , 501-1k Employees , 30 years old , Dehradun +6 more,
6949,Ags Infotech,4.4,94,IT Services & Consulting , 201-500 Employees , Hyderabad/Secunderabad +6 more,,
6950,PS Group,3.8,94,Real Estate , 201-500 Employees , 38 years old , Kolkata +6 more,
6951,T.R. Sawhney Motors,3.8,94,Automobile , 201-500 Employees (Global) , 36 years old , New Delhi +8 more,
6952,Anabeeb,4.2,94,Oil & Gas , 1k-5k Employees (Global) , 40 years old , Dammam +6 more,
6953,GREEN POWER INTERNATIONAL,4.2,94,Oil & Gas , 501-1k Employees , 21 years old , Noida +23 more,
6954,UTI Technology Services,3.4,94,IT Services & Consulting , 1k-5k Employees , Public , 30 years old , Mumbai +12 more
6955,Reliable Business Solutions & Services,3.3,94,BPO , 11-50 Employees , 13 years old , Mumbai +5 more,
6956,Pegasus InfoCorp,3.1,94,IT Services & Consulting , 201-500 Employees , 20 years old , Mumbai +7 more,
6957,Pravin Electricals,3.8,94,Electrical Equipment , 1k-5k Employees , 37 years old , Mumbai +8 more,
6958,SunTec Business Solutions,3.2,94,IT Services & Consulting , 501-1k Employees , 33 years old , Trivandrum/Thiruvananthapuram +9 more,
6959,Polmon Instruments,3.5,94,Industrial Automation , 51-200 Employees , 31 years old , Hyderabad +2 more,
6960,Dr Shroff Charity Eye Hospital,4.1,94,Healthcare , 501-1k Employees , 109 years old , Delhi/NCR +4 more,
6961,Newt Global,3.9,94,IT Services & Consulting , 51-200 Employees , 19 years old , Irving +7 more,
6962,GTT Communications,3.8,94,Telecom , 201-500 Employees , 25 years old , McLean +2 more,
6963,Purnartha Investment Advisors,3.5,94,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , 14 years old , Pune +11 more,
6964,Oasis Resource Management,4.5,94,51-200 Employees , 23 years old , New Delhi +2 more,,
6965,Bobst India,4.2,94,Industrial Machinery , 201-500 Employees , 133 years old , Mex +7 more,
6966,Thinksynq Solutions,3.6,94,Management Consulting , 11-50 Employees , 16 years old , Chennai +8 more,
6967,Yeshshree Press Comps,3.7,94,Auto Components , 1k-5k Employees , 26 years old , Aurangabad +2 more,
6968,Porus Laboratories,4.1,94,Chemicals , 501-1k Employees , 29 years old , Hyderabad +4 more,
6969,Maheshwari Mining,3.3,94,Metals & Mining , 501-1k Employees , 45 years old , Kolkata +19 more,
6970,M K Agro Tech,3.5,94,Food Processing , 51-200 Employees , 28 years old , Srirangapatna +23 more,
6971,KhataBook,3.7,94,FinTech , 51-200 Employees , Startup , 5 years old , Bangalore +13 more
6972,R.k.industries,3.4,94,Industrial Machinery , 1k-5k Employees , Public , New Delhi +24 more,
6973,Edvoy,4.6,94,EdTech , 51-200 Employees , 17 years old , Manchester +4 more,
6974,Revolut,2.8,94,Internet , Startup , 8 years old , London +2 more,
6975,BITS Pilani,4.1,94,Education & Training , 1k-5k Employees , 59 years old , Pilani +18 more,
6976,WinWire Technologies,3.9,94,IT Services & Consulting , 501-1k Employees , 17 years old , Santa Clara +2 more,
6977,thinkbridge,4.1,94,Software Product , 201-500 Employees , Startup , 9 years old , Austin +5 more
6978,Live Connections,4.1,94,Recruitment , 51-200 Employees , 27 years old , Chennai +7 more,
6979,Lotus Footwear Enterprises,3.9,93,Fashion & Textile , 10k-50k Employees , 52 years old , Tamil Nadu +6 more,
6980,Petroleum Development Oman,4.6,93,Petrochemicals , 5k-10k Employees , 86 years old , Muscat +4 more,
6981,KidZania,3.7,93,Media & Entertainment , 51-200 Employees , 26 years old , Mexico City +2 more,
6982,ANY Graphics,4.1,93,Printing & Publishing , 201-500 Employees , 24 years old , Noida +15 more,
6983,Century Rayon,3.9,93,Fashion & Textile , 201-500 Employees , 71 years old , Mumbai +5 more,
6984,The MobileStore,4.3,93,Internet , 501-1k Employees , Public , 17 years old , Mumbai +23 more
6985,Tupperware,3.6,93,Retail , 501-1k Employees , 77 years old , Orlando +16 more,
6986,FICCI,3.6,93,Government , 501-1k Employees , Public , 96 years old , Delhi/NCR +12 more
6987,J. M. Mhatre Infra,4.4,93,Engineering & Construction , 51-200 Employees , 38 years old , Navi Mumbai +13 more,
6988,India Transact Services,4.1,93,FinTech , 501-1k Employees , 16 years old , Mumbai +27 more,
6989,DRN Infrastructure,3.8,93,Power , 501-1k Employees , 40 years old , Hubli +14 more,
6990,Salzer Electronics,3.6,93,Electrical Equipment , 201-500 Employees , Public , 38 years old , Coimbatore +6 more
6991,Indo-Tibetan Border Police,4.4,93,Government , 61 years old , New Delhi +24 more,,
6992,Corecard Software,4.1,93,IT Services & Consulting , 501-1k Employees , Norcross +4 more,,
6993,VIVO Healthcare,3.1,93,Healthcare , 51-200 Employees , 14 years old , Gurgaon +16 more,
6994,Western Coalfields,4.4,93,Metals & Mining , 10k-50k Employees , Public , 48 years old , Nagpur +12 more
6995,Gems Education,3.8,93,Education & Training , 51-200 Employees , 64 years old , Dubai +16 more,
6996,EENADU,4.0,93,Printing & Publishing , 201-500 Employees (Global) , 9 years old , Hyderabad/Secunderabad +17 more,
6997,Hotel Sahara Star,4.1,93,Hospitality , 201-500 Employees , 21 years old , Mumbai +3 more,
6998,Ms Agarwal Foundries,3.9,93,Iron & Steel , 51-200 Employees , 33 years old , Secunderabad +6 more,
6999,Lapp India,4.0,93,Electrical Equipment , 201-500 Employees , 27 years old , Stuttgart +10 more,
7000,Oliva Skin and Hair Clinics,4.3,93,Healthcare , 201-500 Employees , 14 years old , Hyderabad +8 more,
7001,Triveni Almirah,4.1,93,Furniture & Furnishing , 501-1k Employees , 23 years old , Noida +12 more,
7002,MRCC Solutions,3.4,93,IT Services & Consulting , 501-1k Employees , 27 years old , Thane +7 more,
7003,Chetana Publications,3.2,93,Printing & Publishing , 201-500 Employees , 48 years old , Mumbai +18 more,
7004,PKF Sridhar & Santhanam,3.6,93,Accounting & Auditing , 51-200 Employees , 45 years old , Chennai +6 more,
7005,Mepro Pharmaceuticals,4.0,93,Pharma , 1k-5k Employees , 41 years old , Mumbai +7 more,
7006,CI Infotech,3.9,93,IT Services & Consulting , 51-200 Employees , 27 years old , New Delhi +10 more,
7007,Datawind Innovations,2.6,93,Consumer Electronics & Appliances , 1-10 Employees , 22 years old , Mississauga +10 more,
7008,India Pesticides,3.9,93,Agro Chemicals , 501-1k Employees , 39 years old , Bareilly +15 more,
7009,ALL TIME PLASTICS,3.6,93,Petrochemicals , 51-200 Employees , 59 years old , Mumbai +7 more,
7010,Nalanda Learning Systems,3.3,93,Education & Training , 51-200 Employees , 12 years old , Kolkata +4 more,
7011,EENADU,4.0,93,Printing & Publishing , 201-500 Employees (Global) , 9 years old , Hyderabad/Secunderabad +17 more,
7012,Vestian Global Workplace Services,3.4,93,Real Estate , 51-200 Employees , 13 years old , Chicago +9 more,
7013,Shyam Steel Manufacturing,3.6,93,1k-5k Employees , Kolkata +14 more,,,
7014,Gensol Engineering,4.2,93,Power , 51-200 Employees , Public , 16 years old , Ahmedabad +13 more
7015,Religare Housing Development Finance Corporation,4.6,93,Financial Services , 51-200 Employees , Public , 30 years old , Gurgaon +26 more
7016,FICCI,3.6,93,Government , 501-1k Employees , Public , 96 years old , Delhi/NCR +12 more
7017,Chanakya IAS Academy,3.7,93,Education & Training , 11-50 Employees , 30 years old , New Delhi +19 more,
7018,Corecard Software,4.1,93,IT Services & Consulting , 501-1k Employees , Norcross +4 more,,
7019,BVC Logistics,4.0,93,Logistics , 1k-5k Employees , 63 years old , Mumbai +23 more,
7020,Vestian Global Workplace Services,3.4,93,Real Estate , 51-200 Employees , 13 years old , Chicago +9 more,
7021,ALL TIME PLASTICS,3.6,93,Petrochemicals , 51-200 Employees , 59 years old , Mumbai +7 more,
7022,PKF Sridhar & Santhanam,3.6,93,Accounting & Auditing , 51-200 Employees , 45 years old , Chennai +6 more,
7023,Chetana Publications,3.2,93,Printing & Publishing , 201-500 Employees , 48 years old , Mumbai +18 more,
7024,Oliva Skin and Hair Clinics,4.3,93,Healthcare , 201-500 Employees , 14 years old , Hyderabad +8 more,
7025,Ok Play,3.7,93,Industrial Machinery , 51-200 Employees , Public , 30 years old , Delhi/NCR +18 more
7026,QUADRANT RESOURCE LLC,3.4,93,IT Services & Consulting , 501-1k Employees , Redmond +3 more,,
7027,Girnarsoft Automobiles,3.6,93,1k-5k Employees , Gurgaon/Gurugram +23 more,,,
7028,MRCC Solutions,3.4,93,IT Services & Consulting , 501-1k Employees , 27 years old , Thane +7 more,
7029,Oaknorth Bank,3.2,93,Banking , 51-200 Employees , Startup , 8 years old , London +2 more
7030,Pace IIT & Medical,3.2,93,Education & Training , 51-200 Employees , 24 years old , Mumbai +19 more,
7031,CI Infotech,3.9,93,IT Services & Consulting , 51-200 Employees , 27 years old , New Delhi +10 more,
7032,Shyam Steel Manufacturing,3.6,93,1k-5k Employees , Kolkata +14 more,,,
7033,Creative Info-link,3.2,93,IT Services & Consulting , 51-200 Employees , 12 years old , Kolkata +25 more,
7034,Mepro Pharmaceuticals,4.0,93,Pharma , 1k-5k Employees , 41 years old , Mumbai +7 more,
7035,Religare Housing Development Finance Corporation,4.6,93,Financial Services , 51-200 Employees , Public , 30 years old , Gurgaon +26 more
7036,BRIGHTVIEW TELECOM,3.4,93,Telecom , 501-1k Employees (Global) , 15 years old , New Delhi +12 more,
7037,Nalanda Learning Systems,3.3,93,Education & Training , 51-200 Employees , 12 years old , Kolkata +4 more,
7038,India Pesticides,3.9,93,Agro Chemicals , 501-1k Employees , 39 years old , Bareilly +15 more,
7039,Sahu Exports,4.3,93,Fashion & Textile , 51-200 Employees , 44 years old , Noida +3 more,
7040,Triveni Almirah,4.1,93,Furniture & Furnishing , 501-1k Employees , 23 years old , Noida +12 more,
7041,Desnor Destination,4.0,93,Travel & Tourism , Noida +2 more,,,
7042,Gensol Engineering,4.2,93,Power , 51-200 Employees , Public , 16 years old , Ahmedabad +13 more
7043,Ashv Finance,4.3,93,51-200 Employees , Mumbai +24 more,,,
7044,Slice,3.7,93,Financial Services , 1k-5k Employees , Indian Unicorn , 8 years old , New York City +4 more
7045,Quess IT Staffing Solutions,3.4,93,Bengaluru/Bangalore +18 more,,,,
7046,Open Company,3.0,93,Internet , 201-500 Employees , Indian Unicorn , 6 years old , Bangalore +9 more
7047,B.L. Agro Industries,3.3,93,Bareilly +13 more,,,,
7048,Arbro Pharmaceuticals,3.7,93,Pharma , 51-200 Employees , 38 years old , New Delhi +5 more,
7049,MAT Brakes,4.1,93,Industrial Machinery , 1k-5k Employees , New Delhi +5 more,,
7050,Shahnaz Husain Group Of Companies,2.9,93,Beauty & Personal Care , 501-1k Employees , 53 years old , New Delhi +14 more,
7051,Robinhood Insurance Broker,3.9,93,Insurance , 51-200 Employees , 15 years old , Mumbai +17 more,
7052,ARC Document Solutions,3.5,93,Printing & Publishing , 201-500 Employees , 35 years old , San Ramon +2 more,
7053,Talent Corner HR Services,4.1,93,Recruitment , 51-200 Employees , 21 years old , Mumbai +25 more,
7054,Agiliad Technologies,4.1,93,Industrial Automation , 201-500 Employees , 12 years old , Pune +3 more,
7055,Karuna Management Services,3.6,93,Retail , 51-200 Employees , 28 years old , Kolkata +9 more,
7056,Bhima Jewellers,4.1,92,Jewellery , 501-1k Employees , 98 years old , Trivandrum/Thiruvananthapuram +20 more,
7057,Acma Computers,3.4,92,IT Services & Consulting , 51-200 Employees , 31 years old , Mumbai +10 more,
7058,Sterling Software Private Limited,4.0,92,Software Product , 201-500 Employees , 27 years old , Chennai +2 more,
7059,TSR Darashaw,3.6,92,BPO , 51-200 Employees , 22 years old , Mumbai +8 more,
7060,RED CHIEF,4.1,92,Retail , 26 years old , Gurugram +28 more,,
7061,Garuda Power,3.2,92,Industrial Machinery , 51-200 Employees , 14 years old , Asansol +14 more,
7062,Pearl Polymers,4.4,92,501-1k Employees , Public , 39 years old , Delhi/NCR +15 more,
7063,Tafe Access,4.2,92,Automobile , 1k-5k Employees , 63 years old , Chennai +12 more,
7064,Madura Garments,3.9,92,Retail , 51-200 Employees , 35 years old , Bangalore +24 more,
7065,Medikabazaar,3.6,92,Medical Equipment , 501-1k Employees , Startup , 9 years old , Mumbai +14 more
7066,Integrated Cleanroom Technologies,4.3,92,Facility Management Services , 501-1k Employees , 20 years old , Hyderabad +5 more,
7067,Emmbi Industries,3.8,92,Packaging , 201-500 Employees , Public , 29 years old , Mumbai +6 more
7068,Sustainable Agro-commercial Finance,4.5,92,NBFC , 51-200 Employees , 12 years old , Mumbai +29 more,
7069,HAL Offshore,4.4,92,Oil & Gas , 11-50 Employees , 28 years old , Mumbai +12 more,
7070,Real Time Data Services,3.2,92,IT Services & Consulting , 201-500 Employees , 19 years old , Gurgaon/Gurugram +2 more,
7071,Maple Digital Technology,3.4,92,Retail , 51-200 Employees , 14 years old , Mumbai +7 more,
7072,Sai Service Station,3.9,92,Auto Components , 11-50 Employees , 38 years old , Mumbai +9 more,
7073,Competent Automobiles,4.1,92,Retail , 5k-10k Employees , 38 years old , Delhi/NCR +11 more,
7074,Supreme Infrastructure,3.1,92,Engineering & Construction , 1k-5k Employees , Public , 40 years old , Mumbai +14 more
7075,Kapston Facilities Management,3.2,92,Facility Management Services , 501-1k Employees , Public , 14 years old , Hyderabad +17 more
7076,Akal Academy,3.8,92,Education & Training , 201-500 Employees , 36 years old , Sirmour +27 more,
7077,Moving Picture Company,4.1,92,Media & Entertainment , 1k-5k Employees (Global) , Public , 53 years old , London +7 more
7078,Vijaya Bank,4.5,92,Banking , 10k-50k Employees , Public , 92 years old , Bangalore/Bengaluru +27 more
7079,Stanadyne India,3.8,92,Auto Components , 201-500 Employees , 147 years old , Windsor +3 more,
7080,Possible Health,3.1,92,Fitness & Wellness , 51-200 Employees , 8 years old , Bangalore/Bengaluru +6 more,
7081,"MIDLAND CREDIT MANAGEMENT, INC.",4.1,92,IT Services & Consulting , 1k-5k Employees , 70 years old , San Diego +1 more,
7082,Madras Medical Mission,4.3,92,Healthcare , 1k-5k Employees , 41 years old , Chennai +3 more,
7083,Same Deutz-fahr,3.7,92,Industrial Machinery , 501-1k Employees , 96 years old , Treviglio +9 more,
7084,GTN Engineering,4.0,92,Metals & Mining , 201-500 Employees , Public , 33 years old , Tirupur +11 more
