,name,rating,reviews,field,employees,ctype,old,location
3396,Wishfin,4.3,195,Financial Services , 501-1k Employees , 7 years old , Noida +10 more,
3397,Weblink In,3.8,195,IT Services & Consulting , 201-500 Employees , 26 years old , New Delhi +7 more,
3398,Elin Appliances,4.1,195,Consumer Electronics & Appliances , 51-200 Employees , 54 years old , Ghaziabad +11 more,
3399,TIDC India,4.1,195,Industrial Machinery , 5k-10k Employees , 63 years old , Chennai +20 more,
3400,Nobel Hygiene,3.6,195,Healthcare , 51-200 Employees , 23 years old , Mumbai +41 more,
3401,Kimberly-Clark,4.4,195,Beauty & Personal Care , 501-1k Employees , Forbes Global 2000 , 151 years old , Irving +39 more
3402,Banswara Syntex,4.1,195,Fashion & Textile , 10k-50k Employees , Public , 47 years old , Banswara +9 more
3403,MediBuddy,3.1,195,Healthcare , 1k-5k Employees , Startup , 10 years old , Bangalore +13 more
3404,Empower Retirement,3.7,195,Financial Services , 5k-10k Employees (Global) , Public , 132 years old , Greenwood Village +3 more
3405,The Phoenix Mills,3.9,195,Real Estate , 501-1k Employees , Public , 118 years old , Mumbai +13 more
3406,IIT Madras,4.3,195,Education & Training , 1k-5k Employees , 64 years old , Chennai +7 more,
3407,Garware Technical Fibres,3.8,195,Fashion & Textile , 201-500 Employees , 47 years old , Pune +21 more,
3408,Cameo Corporate Services,3.3,195,BPO , 1k-5k Employees , 38 years old , Chennai +13 more,
3409,OodlesTechnologies,3.0,195,IT Services & Consulting , 501-1k Employees , 14 years old , Gurgaon/Gurugram +8 more,
3410,Groz Engineering Tools,4.1,194,Industrial Machinery , 1k-5k Employees , 47 years old , Gurgaon/Gurugram +19 more,
3411,S Chand Group,3.9,194,Education & Training , 1k-5k Employees , Public , 84 years old , New Delhi +30 more
3412,Sistema Shyam Teleservices,4.8,194,Telecom , 1k-5k Employees , 28 years old , Gurugram +42 more,
3413,American Tower Corporation,3.9,194,Telecom , 501-1k Employees , Forbes Global 2000 , 28 years old , Boston +35 more
3414,AYN InfoTech,4.7,194,IT Services & Consulting , 51-200 Employees , Public , 14 years old , Bengaluru/Bangalore +12 more
3415,Biz 2 Credit Info Services,4.1,194,IT Services & Consulting , 201-500 Employees , 16 years old , New York +2 more,
3416,Machino Plastics,3.7,194,Auto Components , 201-500 Employees , Public , 36 years old , Gurgaon/Gurugram +8 more
3417,Country Club India,3.7,194,Hospitality , 5k-10k Employees , 38 years old , Hyderabad/Secunderabad +24 more,
3418,Sonata Finance,3.9,194,Financial Services , 51-200 Employees , 28 years old , Allahabad/Prayagraj +53 more,
